Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
greeting.A0Tests,a:tests,A0Tests,a:tests,main,main,none,none,gradingTools.comp533s22.assignment0.S22Assignment0Suite,assignment:suite,gradingTools.comp533s22.assignment0.S22Assignment0Suite,assignment:suite,main,main
greeting.Hello,hello,@GreetingMain,greeting:main,main,main,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
greeting.Hello,hello,@GreetingMain,greeting:main,main,main,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
