#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Thu Jan 13 17:29:40 EST 2022,0,0,GreetingCheckstyle, , ,GreetingCheckstyle+ ,A0MnemonicNames A0NoCheckstyleWarnings GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,0,0,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
1,Thu Jan 13 17:29:46 EST 2022,16,16,GreetingClassRegistryProvided,GreetingClassRegistryProvided+ , ,GreetingCheckstyle ,A0MnemonicNames A0NoCheckstyleWarnings GreetingMainProvided GreetingRun ,0,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
2,Thu Jan 13 17:29:47 EST 2022,16,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingCheckstyle GreetingMainProvided+ ,A0MnemonicNames A0NoCheckstyleWarnings GreetingRun ,0,2,false, , , ,GreetingMainProvided-(0.0/2.0) , ,
3,Thu Jan 13 17:29:54 EST 2022,16,0,GreetingRun,GreetingClassRegistryProvided , ,GreetingCheckstyle GreetingMainProvided GreetingRun+ ,A0MnemonicNames A0NoCheckstyleWarnings ,0,3,false, , , ,GreetingRun-(0.0/6.0) , ,
4,Thu Jan 13 17:29:57 EST 2022,16,0,A0Style,GreetingClassRegistryProvided , ,A0MnemonicNames+ A0NoCheckstyleWarnings+ GreetingCheckstyle GreetingMainProvided GreetingRun , ,0,4,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
5,Thu Jan 13 17:30:06 EST 2022,16,0,A0MnemonicNames,GreetingClassRegistryProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingMainProvided GreetingRun , ,0,5,false, , , ,A0MnemonicNames-(0.0/2.0) , ,
6,Thu Jan 13 17:36:58 EST 2022,33,17,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
7,Thu Jan 13 17:37:20 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,1,false, , , ,GreetingRun-(0.0/6.0) , ,
8,Thu Jan 13 17:41:09 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
9,Thu Jan 13 17:41:11 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
10,Thu Jan 13 17:41:12 EST 2022,33,0,A0MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,4,false, , , ,A0MnemonicNames-(0.0/2.0) , ,
